134507-2-2-505191;505191;APLICAR EN LA RESOLUCIÓN DE PROBLEMAS REALES DEL SECTOR PRODUCTIVO, LOS CONOCIMIENTOS, HABILIDADES Y DESTREZAS PERTINENTES A LAS COMPETENCIAS DEL PROGRAMA DE FORMACIÓN ASUMIENDO ESTRATEGIAS Y METODOLOGÍAS DE AUTOGESTIÓN;0
134507-2-35583-587781;587781;2. ASESORAR AL USUARIO SOBRE EL ACCESO A LOS BENEFICIOS DEL ASEGURAMIENTO TENIENDO EN CUENTA NORMATIVA Y POLÍTICAS INSTITUCIONALES.;0
134507-2-35583-587782;587782;1. RECONOCER CONDICIONES SOCIO-ECONÓMICA DE LA POBLACIÓN PARA AFILIARLA AL SISTEMA GENERAL DE SEGURIDAD SOCIAL EN SALUD SEGÚN POLÍTICAS INSTITUCIONALES Y NORMATIVA.;0
134507-2-35583-587783;587783;4. VERIFICAR EL PROCESO DE AFILIACIÓN DE ACUERDO CON NORMATIVA LEGAL E INSTITUCIONAL;0
134507-2-35583-587784;587784;3. GARANTIZAR LA COMPLETITUD DE LA DOCUMENTACIÓN REQUERIDA EN EL PROCESO DE AFILIACIÓN DE ACUERDO CON PRINCIPIOS DEL SISTEMA GENERAL DE SEGURIDAD SOCIAL Y POLÍTICAS INSTITUCIONALES;0
134507-2-36180-550929;550929;2. ESTABLECER RELACIONES DE CRECIMIENTO PERSONAL Y COMUNITARIO A PARTIR DEL BIEN COMÚN COMO APORTE PARA EL DESARROLLO SOCIAL;0
134507-2-36180-550930;550930;3. PROMOVER EL USO RACIONAL DE LOS RECURSOS NATURALES A PARTIR DE CRITERIOS DE SOSTENIBILIDAD Y SUSTENTABILIDAD ÉTICA Y NORMATIVA VIGENTE;0
134507-2-36180-550931;550931;4. CONTRIBUIR CON EL FORTALECIMIENTO DE LA CULTURA DE PAZ A PARTIR DE LA DIGNIDAD HUMANA Y LAS ESTRATEGIAS PARA LA TRANSFORMACIÓN DE CONFLICTOS;0
134507-2-36180-550932;550932;1. PROMOVER MI DIGNIDAD Y LA DEL OTRO A PARTIR DE LOS PRINCIPIOS Y VALORES ÉTICOS COMO APORTE EN LA INSTAURACIÓN DE UNA CULTURA DE PAZ;0
134507-2-36182-537169;537169;IDENTIFICAR LA DINÁMICA ORGANIZACIONAL DEL SENA Y EL ROL DE LA FORMACIÓN PROFESIONAL INTEGRAL DE ACUERDO CON SU PROYECTO DE VIDA Y EL DESARROLLO PROFESIONAL;0
134507-2-37371-518589;518589;1. SELECCIONAR HERRAMIENTAS DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN (TIC), DE ACUERDO CON LAS NECESIDADES IDENTIFICADAS;0
134507-2-37371-518590;518590;3. VERIFICAR LOS RESULTADOS OBTENIDOS, DE ACUERDO CON LOS REQUERIMIENTOS;0
134507-2-37371-518591;518591;2. USAR HERRAMIENTAS TIC, DE ACUERDO CON LOS REQUERIMIENTOS, MANUALES DE FUNCIONAMIENTO, PROCEDIMIENTOS Y ESTÁNDARES;0
134507-2-37371-518592;518592;4. IMPLEMENTAR BUENAS PRÁCTICAS DE USO, DE ACUERDO CON LA TECNOLOGÍA EMPLEADA;0
134507-2-37714-537162;537162;2. DESCRIBIR A NIVEL BÁSICO, DE FORMA ORAL Y ESCRITA EN INGLÉS PERSONAS, SITUACIONES Y LUGARES DE ACUERDO CON SUS COSTUMBRES Y EXPERIENCIAS DE VIDA;0
134507-2-37714-537163;537163;4. LLEVAR A CABO ACCIONES DE MEJORA RELACIONADAS CON EL INTERCAMBIO DE INFORMACIÓN BÁSICA EN INGLÉS, SOBRE SÍ MISMO, OTRAS PERSONAS, SU CONTEXTO INMEDIATO ASÍ COMO DE EXPERIENCIAS PASADAS;0
134507-2-37714-537164;537164;6. PONER EN PRÁCTICA VOCABULARIO BÁSICO Y EXPRESIONES COMUNES DE SU ÁREA OCUPACIONAL EN CONTEXTOS ESPECÍFICOS DE SU TRABAJO POR MEDIO DEL USO DE FRASES SENCILLAS EN FORMA ORAL Y ESCRITA.;0
134507-2-37714-537165;537165;1. COMPRENDER INFORMACIÓN BÁSICA ORAL Y ESCRITA EN INGLÉS ACERCA DE SÍ MISMO, DE LAS PERSONAS Y DE SU CONTEXTO INMEDIATO EN REALIDADES PRESENTES E HISTORIAS DE VIDA.;0
134507-2-37714-537166;537166;3. PARTICIPAR EN INTERCAMBIOS CONVERSACIONALES BÁSICOS EN FORMA ORAL Y ESCRITA EN INGLÉS EN DIFERENTES SITUACIONES SOCIALES TANTO EN LA COTIDIANIDAD COMO EN EXPERIENCIAS PASADAS;0
134507-2-37714-537167;537167;5. COMUNICARSE DE MANERA SENCILLA EN INGLÉS EN FORMA ORAL Y ESCRITA CON UN VISITANTE O COLEGA EN UN CONTEXTO LABORAL COTIDIANO;0
134507-2-37799-518609;518609;4. REPORTAR LAS CONDICIONES Y ACTOS QUE AFECTEN LA PROTECCIÓN DEL MEDIO AMBIENTE Y LA SST, DE ACUERDO CON LOS LINEAMIENTOS ESTABLECIDOS EN EL CONTEXTO ORGANIZACIONAL Y SOCIAL;0
